#
#
#
#
#
#
#
#
#
#
org_code	eng_org	chn_org	eng_abbr	comment	comment2
sct		ĞÇ×ùÁ´Çò¾úĞÇ×ùÑÇÖÖ		
sdf	Abiotrophia defectiva	È±Ïİ·¦Ñø¾ú		
sdy	Streptococcus dysgalactiae ss. Dysgalactiae	Í£ÈéÁ´Çò¾ú		
sep	Staphylococcus epidermidis	±íÆ¤ÆÏÌÑÇò¾ú	S.epidermidis	
sfo	Serratia fonticola	¾ÓÈªÉ³À×¾ú		
sgc	Streptococcus agalactiae	ÎŞÈéÁ´Çò¾ú	S.agalactiae	
sgl	Staphylococcus gallinarum	¼¦ÆÏÌÑÇò¾ú		
sgo	Streptococcus gordonii	¸ñÊÏÁ´Çò¾ú	S.gordonii	
sgu	Streptococcus parasanguinis	¸±ÈÜÑªÁ´Çò¾ú		
sgy	Streptococcus gallolyticus	½âÃ»Ê³×ÓËáÁ´Çò¾ú	S.gallolyticuss	
shb	Shigella flexneri	¸£ÊÏÖ¾ºØ¾ú		
shl	Staphylococcus haemolyticus	ÈÜÑªÆÏÌÑÇò¾ú	S.haemolyticus	
sho	Staphylococcus hominis ss. hominis	ÈËÆÏÌÑÇò¾ú	S.hominis	
sin	Streptococcus intermedius	ÖĞ¼äÁ´Çò¾ú	S.intermedius	
sle	sciuriÆÏÌÑÇò¾ú	ÆÏÌÑÇò¾ú		
slq	Serratia liquefaciens	¾ÓÈªÉ³À×¾ú	S.liquefaciens	
slu	Staphylococcus lugdunensis	Â·µËÆÏÌÑÇò¾ú	S.lugdunensis	
sly	Streptococcus alactolyticus	·Ç½âÈéÌÇÁ´Çò¾ú	S.alactolyticus	
sma	Serratia marcescens	Õ³ÖÊÉ³À×¾ú	S.marcescens	
sml	Sphingobacterium multivorum	¶àÊ³ÇÊ°±´¼¸Ë¾ú	S.multivorum	
smt	Streptococcus mitis	»ºÖ¢Á´Çò¾ú	S.mitis	
sol	Streptococcus oralis	¿ÚÇ»Á´Çò¾ú		
spa	Sphingomonas paucimobilis	ÉÙ¶¯ÇÊ°±´¼µ¥°û¾ú	S.paucimobilis	
spf	Shewanella putrefaciens	¸¯°ÜÏ£Íß¾ú	S.putrefaciens	
spn	Streptococcus pneumoniae	·ÎÑ×Á´Çò¾ú	S.pneumoniae	
spp	Streptococcus pleomorphus	¶àĞÎÁ´Çò¾ú		
ssa	Streptococcus salivarius	ÍÙÒºÁ´Çò¾ú	S.salivarius	
ssi	Staphylococcus simulans	Ä£·ÂÆÏÌÑÇò¾ú	S.simulans	
ssn	Streptococcus sanguinis	ÑªºìÁ´Çò¾ú 	S.sanguinis	
ssr	Staphylococcus sciuri ss. sciuri	ËÉÊóÆÏÌÑÇò¾ú		
stc		¿ÆÊÏÆÏÌÑÇò¾ú¿ÆÊÏÑÇÖÖ		
str	Streptococcus sp.	Á´Çò¾úÊô		
sul	Staphylococcus cohnii ss. urealyticum	¿ÆÊÏÆÏÌÑÇò¾ú½âëåÑÇÖÖ	S.cohnii ss. urealyticum	
svi	"Streptococcus viridans, alpha-hem."	²İÂÌÉ«Á´Çò¾ú	"S.viridans, alpha-hem."	
swa	Staphylococcus warneri	ÎÖÊÏÆÏÌÑÇò¾ú	S.warneri	
sxy	Staphylococcus xylosus	Ä¾ÌÇÆÏÌÑÇò¾ú	S.xylosus	
tas	Trichosporon asahii	°¢ÈøÏ£Ã«æß×Ó¾ú	T.asahii	
tca	Candida famata	ÎŞÃû¼ÙË¿½ÍÄ¸	C.famata	
tca	Candida famata	ÎŞÃû¼ÙË¿½ÍÄ¸¾ú		
uur	Ureaplasma urealyticum	½âëåÖ§Ô­Ìå	U.urealyticum	
xab	No anaerobes found	Î´Éú³¤ÑáÑõ¾ú		
xcd	No C. difficile found	Î´Éú³¤ÄÑ±æËó¾ú		
xep	No enteric pathogens found	Î´Éú³¤É³ÃÅÖ¾ºØ¾ú		
xfu	No fungi found	Î´Éú³¤Õæ¾ú		
xhp		Î´Éú³¤ÓÄÃÅÂİ¸Ë¾ú		
xmp		Î´Éú³¤Ö§Ô­Ìå		
xmy	No mycobacteria found	Î´Éú³¤·ÖÖ¦¸Ë¾ú		
xxx	No growth	Î´Éú³¤Ï¸¾ú		
yea		½ÍÄ¸¾ú		
